CREDITCARDKEY,CREDITCARDID,CARDTYPE,CARDNUMBER,EXPMONTH,EXPYEAR,MONTHEXPIRATION,CARDSTATUS,EXPIRING3MONTHS,CREDITMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
30,30,Vista,11111281844021,6,2006,-230,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,cc594e10522178ee137f3435ab5a8a8d015ec83496bd69af4c9dfea545371119
31,31,Vista,11112040199986,10,2008,-202,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,4a98f7338ff0fa0f6b1aa5ef6e9030ca553160bf9da116689ff64362864f905b
32,32,Distinguish,55552506272209,6,2006,-230,Expired,Expired,2014-01-21 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,690ac6531a7a62b3eba88b83d3af7509bab6139013ccbbd81937bc8f302df753
33,33,SuperiorCard,33335588002748,2,2006,-234,Expired,Expired,2012-01-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d022f03f464087eeaeca121249e28189b19da7fe38c81409b7af8de33039daa5
34,34,Vista,11115274414475,10,2006,-226,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,e021377b1b22ff3e6962c0476aede8be12449d2355e3569350724df2eca428f7
35,35,SuperiorCard,33333028993903,2,2007,-222,Expired,Expired,2012-08-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,747ede5ab629626025dde86cff8add012ab230bd9afb8f6b7c6afc0efc7f6609
36,36,Vista,11111169772836,11,2006,-225,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,274706150e3e69d760d9aca5e68b7babdcb3d777d7ed586a4e60e4f9024c8782
37,37,Distinguish,55551349750603,7,2007,-217,Expired,Expired,2014-03-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b5fdca3a73bb0217821eae28d5b5ad951a2b664cf0d0fbe0724a30ceaa2a405a
38,38,Distinguish,55555420711099,7,2008,-205,Expired,Expired,2013-09-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,777417f67b096ce7ffcfbf1ed2a362f5490c701f63b5864f2012b19d116bac19
39,39,Vista,11117546738833,5,2005,-243,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,44b846863285ae154b52d99be2bb65cf092ba737f661965cbad3c8a7916bad33
40,40,Distinguish,55555841603354,4,2008,-208,Expired,Expired,2013-08-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0deff1ca55cfc9848a21c31deddf4c444b0bbdd904d47586c864ddfd066663ed
41,41,Vista,11113757706549,7,2008,-205,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,c852db4f88c9ebcc46ce620d0eaad12f6ae6966535152f9e72d678a710703698
42,42,Distinguish,55555053963314,3,2005,-245,Expired,Expired,2013-07-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e2ee688ec01abd1f72261dc0c8a088370eb3f11132d211f5978fda897c052ba1
43,43,SuperiorCard,33332773200339,3,2006,-233,Expired,Expired,2013-09-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c80e2de8a8fec9fdc0bc98a75a61d97b3ea614e80215d357b86c746f58d00e38
44,44,ColonialVoice,77779171924785,6,2007,-218,Expired,Expired,2013-10-10 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,89c92da71c44a7f35cad441c208e2d9118bc2765592b9d562bceedc361380287
45,45,Distinguish,55551983685258,4,2006,-232,Expired,Expired,2014-04-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,48a963ec706455dcb3c6975fef8414a433e0de8b40441ca0dd0c6c25f3d1fd86
46,46,SuperiorCard,33331306076760,12,2005,-236,Expired,Expired,2013-12-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8afa3c7556701d605edfda9000f8b8fa18b9ee81d7fa2a75d74d105525d7997a
47,47,Distinguish,55551566702747,3,2008,-209,Expired,Expired,2013-06-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,28fa63157fcee385c9b1dc2c7b2f97770ca857734d3ad56f34acfc530d699f18
48,48,SuperiorCard,33338676321482,3,2008,-209,Expired,Expired,2014-05-21 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,162fb06cbc32617dc778a01635745f0318ba906f5d8e320611880588cb7a2143
49,49,SuperiorCard,33337796706807,6,2008,-206,Expired,Expired,2013-07-09 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d6c546dacf57afa340b8af5dc467ab3bbc807ac6233095a81a8de74ee89635c3
50,50,ColonialVoice,77776755686502,5,2007,-219,Expired,Expired,2014-06-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,62c816bbd2c111bf889edc9b7fa178637d15846425328a8d8aeaae24c7c1cde0
51,51,SuperiorCard,33337051999262,3,2007,-221,Expired,Expired,2014-03-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,226db97067f9c914812f04aa7977fc29b3f86ce07616619621896225a24d94f1
52,52,Vista,11113124378865,3,2008,-209,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,90d412de84032401d8b6bfc95925853ef19f1996a25b62c19407110c9fdfda4c
53,53,ColonialVoice,77772212684661,5,2006,-231,Expired,Expired,2014-04-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,49d156024478afd9fb2ab83f1dda4062ac4e9419af29171876396d855c3db1ca
54,54,Distinguish,55553252134216,12,2006,-224,Expired,Expired,2013-09-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,43b976ec117118253e7ecf6faaebd72abb4178a059e6305386c304e14c49c9d4
55,55,ColonialVoice,77776585377718,5,2008,-207,Expired,Expired,2013-07-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,73dd3dbe786834aba5476bdc70d24b8e4b10b677333b920d41cf5b7ea0b33191
56,56,Distinguish,55551526073305,7,2007,-217,Expired,Expired,2014-03-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a4de471c47af23323bb350665049b3a8b36db42fa6ce74ca5f3ca1e22bcbffeb
57,57,ColonialVoice,77775318833306,10,2008,-202,Expired,Expired,2013-12-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,27aac893c96aeeb5a4a621766805d5ce072935a411bbc0a1330d844fdc51bcee
58,58,Vista,11117610506869,12,2008,-200,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,1276a518adb7d5e5a892667b3fa70acc3e8cbbaba7d7f1f318cc6e2c00329657
59,59,Vista,11116857559490,9,2006,-227,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,017465be66feef7206d1e63ba698e278922b8d3d34ed525081ea6d6d1026a0b7
60,60,Vista,11111063290504,1,2008,-211,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,82ac6c9fda58d9ac4c09eb12c512fd73fb00806660bcd30dfa79272db8826b67
61,61,Distinguish,55553521953614,4,2008,-208,Expired,Expired,2014-05-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f33482605cc142c74c2754094d3dd9a8246ce47eec39dc4d0b90768e46b949dd
62,62,SuperiorCard,33336076362820,1,2005,-247,Expired,Expired,2014-04-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5def220dd4f63ae335a42ff9929bcae24c6beedcef1e7eef91ac7be219579493
63,63,Distinguish,55552834411554,4,2008,-208,Expired,Expired,2013-12-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,653979c2cb2e8c829bbdc0c4a1ef4497ab43ad587aa8d48a5a13884016ca44b8
64,64,ColonialVoice,77776280624762,2,2005,-246,Expired,Expired,2013-10-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3764d277df1dd73508f76d36da792d92371ea80c53ee85b621f6cf29f769b333
65,65,Distinguish,55556135765472,4,2005,-244,Expired,Expired,2013-10-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f61bcfd482219cdd95b4ea90a55302770c5e8c0a9b67771a300277783e3db0b3
66,66,ColonialVoice,77774204284216,8,2005,-240,Expired,Expired,2010-01-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,576e3e9833c985bf4487a0eb91a0b43f38dde00e6d6be4d5f5b1ad1cdf0388d9
67,67,SuperiorCard,33335516443528,12,2005,-236,Expired,Expired,2013-10-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,369699d22a238095eb681490b5a0660ade0d1715b3f4a9f31a616cd58b680699
68,68,SuperiorCard,33337185413753,3,2005,-245,Expired,Expired,2013-02-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,82cc0ab87800dce9b902bdeae5f8fbfc7b37efd6012269e253cfd4d17d49d036
69,69,ColonialVoice,77773035177913,6,2005,-242,Expired,Expired,2012-05-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bd2e2899fc75ba1395c6caf26628803b7912b76765a96515e55c6c22bc3a39eb
70,70,Distinguish,55556217280260,3,2008,-209,Expired,Expired,2014-02-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a913f3a4595539b0e97e1b82074095caa030a0cf80616fe72f6ea70e8be36780
71,71,Vista,11116167886495,7,2005,-241,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,883472efa667e64e73ac45754be50aa32aa6ba4f6a32ce7703bc937b977b8ace
72,72,Distinguish,55557166092204,7,2005,-241,Expired,Expired,2013-08-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,947ccd4f9e608d6955452f07a63dbb9e91f7bec6d09e4fafd4e5a07146275969
73,73,Vista,11111097285749,1,2008,-211,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,efed6767541d9e6a5907e51487638a0de8b46db966478baaf6944f0e2a6a5a72
74,74,Vista,11111875326223,11,2007,-213,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,8cdbf96e01c73568aa685909951e1fed808b23fcac100eeaf1c20ffd505c01d4
75,75,SuperiorCard,33339024575831,11,2008,-201,Expired,Expired,2013-09-22 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,960642f2b5b16a9b84ee7b91f3597c661c5d6fc7c5abc406628f98150010f3f1
76,76,SuperiorCard,33337723858818,5,2008,-207,Expired,Expired,2011-05-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b33b69b9eccceb83810340b9cda8e3b411407fc1f8e12e756d226c067c65aa6c
77,77,Distinguish,55552491484622,8,2008,-204,Expired,Expired,2009-02-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,653aa59ee6801e9e1201f345fc0bc8008de11cc13324a62318d9014a4c2acee4
78,78,SuperiorCard,33335304638114,8,2008,-204,Expired,Expired,2014-01-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0104a751dd6334c9e08241a6148383a7507eb0891886be938d3f9cf6d129ae20
79,79,Vista,11118018211102,7,2006,-229,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,dfa6258419cd6505d58b24ee2d990373f0e2e7f99f0251e9ade3692e05235792
80,80,ColonialVoice,77772340294400,11,2008,-201,Expired,Expired,2013-11-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,09493bee96afba62592ba3a601f421d3f64e202de86eb277069556176c298d5a
81,81,Distinguish,55557892934839,6,2007,-218,Expired,Expired,2012-11-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,715c66c59952e0ba825dd84b829b4f8153324afbe682dffc753a4609893d0a5e
82,82,Distinguish,55552580794715,11,2006,-225,Expired,Expired,2012-05-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5900b8f121a468fa5496ba0b6b6ccdeb3ef80efba4d47b6481ac4ca4d68468eb
83,83,Vista,11118036755505,4,2008,-208,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,6a31b1e0af334918dcb0ef6e175959291b27657f7ce4dfcdc50a4d2bd36f25b0
84,84,Distinguish,55556891733409,1,2006,-235,Expired,Expired,2014-03-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,96b8762db65c3e58ea56111b1e1da86899e128257cf774d79623ab35c67123c9
85,85,ColonialVoice,77775989712942,4,2006,-232,Expired,Expired,2014-05-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,957bd1836edd8872c00509f2d810baf3d8cb4ba1f3bfe02baf36aa7f72ba06a7
86,86,SuperiorCard,33336703497121,1,2006,-235,Expired,Expired,2013-08-26 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1cab230f9f54440f1018e63833e816c434129bbcd980abd1213c22be2bf4e3d5
87,87,Vista,11115536966870,8,2007,-216,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,591216b74baac96474dcc892415874e005e1f8eaed4daef9aa67425f87c60403
88,88,Distinguish,55559505872957,1,2006,-235,Expired,Expired,2014-04-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2a6dc4cca8516d4d4972484dc33ce2b1dcb3608148de490c48df16a7fc799506
89,89,SuperiorCard,33332972701054,4,2007,-220,Expired,Expired,2013-04-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0a8cfea54250ce07840bb7f651d51e722b69f3e8fbe05835ec6022ab5bbf1ced
90,90,Distinguish,55554129226031,11,2007,-213,Expired,Expired,2013-07-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,93661fa91b865cd021c78fef3bd91a83491d5f9dcd5fcc5ac157f9d19f02d3d7
91,91,SuperiorCard,33334379129505,1,2006,-235,Expired,Expired,2013-07-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a5f4aebef5ee38a44df0b9024811022974b1a232e6c7f521fb4f2fda1fa431c3
92,92,SuperiorCard,33334394499932,10,2006,-226,Expired,Expired,2014-02-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,682e64a8b36103c97987b903d3a3fe9a881c729702ebd2aa1a83edaac028b0ed
93,93,Vista,11117160559398,2,2005,-246,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,41692d1e5e4c9f8291ed8152db18f8ac7c98dec908e8b7ea8a12cb548ef932b2
94,94,Distinguish,55553576381881,5,2005,-243,Expired,Expired,2014-03-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3e24d6ccb542777f6211cd3f36c9f11358df95316ae65e7f8b6a90741c73277c
95,95,Distinguish,55551358663947,5,2007,-219,Expired,Expired,2014-03-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c8f3bff2c36176d78b950b5c8d5d927707a61d6b5b61d7ad664f9c1e842b00b6
96,96,SuperiorCard,33337600423179,4,2007,-220,Expired,Expired,2014-01-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,010f35ccf92cc8f6261706cd18ec351680455477308847a0fb81c448096722b9
97,97,ColonialVoice,77778908268190,12,2007,-212,Expired,Expired,2014-05-02 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2b87274dd082b43b71948afd9a0daf970172647dbabe7eda1c11a5524a7afec3
98,98,SuperiorCard,33334689130342,9,2006,-227,Expired,Expired,2011-12-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,dfe9a386044a30d17b1e3de85b3723de9c38bae384231d0c7501106ce241d9e8
99,99,Vista,11119575282326,12,2006,-224,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,7095534b7f3f17f70e7d63abb5c7e85d4dc0a40d036231ca811e4bc8ba204d42
100,100,ColonialVoice,77775942872654,9,2007,-215,Expired,Expired,2014-04-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,4b0938ebd9dcd171b03d1a8f27e7a55fba07a70bb9fd1d178584639da65dfc60
101,101,ColonialVoice,77771155924577,12,2006,-224,Expired,Expired,2012-06-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,97e23b52dd6bea132a11ceb62c6b03a370e4351f6df9d6d1e09a2fedba5bc17d
102,102,ColonialVoice,77777905530572,12,2008,-200,Expired,Expired,2013-12-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a87c970e9feb2f0b30ff29e85bf8a70ba8344e30e9a647f79a2b4e46d43407e1
103,103,Vista,11113359002897,10,2007,-214,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,4c559178c8fa16f2e90ce16750d697d2e8ae236c5eb88a61ee3c540a7e6c98fb
104,104,ColonialVoice,77772996189531,11,2005,-237,Expired,Expired,2013-07-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,de0f71102d56aea75df50aa759bc6d76a70ca5d8e3cd2bbb7c1307feceb2eb06
105,105,Distinguish,55558305945748,4,2008,-208,Expired,Expired,2014-01-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,aa2a180c630ef0eaf8d78994f822e21c63469bf2b3f5c3cbdaa5cba5a35a34f7
106,106,SuperiorCard,33331614606503,10,2008,-202,Expired,Expired,2013-06-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6eb74ee5f3430be9ca1d666ec5f94c83aa5dc4cf288eceeedf117f64f20acd8b
107,107,ColonialVoice,77771467512075,12,2006,-224,Expired,Expired,2014-06-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,cf07ae7cee06e2aca790d2e1495991c1cdeded47b54ed5db2348874ae5635ff7
108,108,Vista,11114226806511,4,2006,-232,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,a4bac56201c1a57464512747936495aab79550d1ece6dc30bf129f49c55745f7
109,109,Vista,11115965551854,8,2007,-216,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,a95b86ce71087f1ec539d42e8a6f2f7318b6e5faf7ce241e85d5fda8eb49fb78
110,110,Distinguish,55556494862795,12,2006,-224,Expired,Expired,2013-08-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,40d2efa16abc4e98eed951542418a75fa53ba93f8e61af6f539d819203b942b6
111,111,SuperiorCard,33339067552676,4,2006,-232,Expired,Expired,2013-11-14 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e7384f74ccb11c4a32db8ffa685a3724b7a55c1c3b3e841b4183c2b1f5eeeb80
112,112,Vista,11118290057240,3,2007,-221,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,282b0bacd405dcf16b16176108c3b7695ab595bc35bb66672eb1b1fb800356f8
113,113,Vista,11117863519103,2,2005,-246,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,f3992d20c0f9bd9694a130eb0b825ea335cbfa84a8f97f254b1c324a9b7e56b2
114,114,SuperiorCard,33338624829973,8,2006,-228,Expired,Expired,2013-08-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8bc46d75d2cda9da68d89412e1ac8b8e3b9ad70ebcf0624a97d9af9bdbaec3ea
115,115,Distinguish,55557331288433,1,2005,-247,Expired,Expired,2013-08-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,744d6bb2dff71bf6dff645368d73e9eb17845ba5733d0d2eb82fa1ac9b6d91d3
116,116,Distinguish,55551539904121,5,2006,-231,Expired,Expired,2014-02-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c36b815d3a4fa556f8752ab7703b9d8a259629dfa247ece8f41b40e44467b0ae
117,117,ColonialVoice,77778258299726,8,2005,-240,Expired,Expired,2013-11-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,83af7696d420a2db83d89191157dac90ba2b3240d4e9a0ad9aad1dd4d1e38207
118,118,Distinguish,55551810976353,10,2007,-214,Expired,Expired,2013-09-02 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,67cc6400a41c282448727f9c3f4569f0313bc3842797e6e8d7484c70ecb179cc
119,119,Distinguish,55551090366683,1,2006,-235,Expired,Expired,2009-02-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,30e4a43cf29677a45db956a09b317c76ad7874584bae2bb49d39813e90a82075
120,120,Distinguish,55554797685048,1,2006,-235,Expired,Expired,2013-05-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c48e7ced0ea7d0ec518a75b693aa1c32aff7c4f848ae72b1d6b4ef9d803c356e
121,121,Distinguish,55556497893044,8,2005,-240,Expired,Expired,2014-05-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3bc3455a852eed2065d523d05a05c1f5b6c63548705290d3a1b38e2b2f2d0103
122,122,ColonialVoice,77775805844194,9,2007,-215,Expired,Expired,2014-06-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e0fb6ae77299c630d9219748f9ba85c7ed0618cf79da9f1fa89cb0204b6342c1
